text_en,text_uk,label
best christmas eve news: i have a half sister. #thanksdad,Найкраща новина на Святвечір: у мене є зведена сестра. #дякуютату,1
travel and tourism this morning.my favourite lesson whoooo,"Подорожі та туризм сьогодні вранці це найулюбленіший урок, ууууу",1
"isn't this blaming the victim? rt @user every year, 600k college students are injured while drunk.",Хіба це не звинувачення жертви? щороку 600 тисяч студентів отримують травми у стані сп'яніння.,1
thanks gori-san|#djgori for sale,дякую Горі-сан|#djgori на продаж,0
i refuse to be weak... #workout #motivation #fitfam,Я відмовляюся бути слабким... #тренування #мотивація,0
@user please make me smile this x-mas.. first xmas without my mum here. your my fav everrr. pleaseeee,"@користувач, будь ласка, змусь мене усміхнутися цього Різдва.. це перше Різдво без мами. ти мій кумир. ну будь ласкааа",0
@user left regressives is that not a label,"@користувач ліві регресивні — це що, зовсім не ярлик, по-твоєму?",1
"@user congrats , so cute","@користувач вітаю, так мило",0
has anyone visualised the different colours and flavours of twitter streams? kinda lipmus test.,хтось візуалізував різні кольори та смаки потоків у twitter? свого роду лакмусовий папірець.,0
tryna learn to skate tonight! #pennyboard #skate,намагаюся навчитися кататися на скейті сьогодні ввечері! #пенніборд #скейт,1
"yep, true patriots all.","ага, справжні патріоти, всі.",1
@user i believe we have n that's y we suck.,"@користувач я вірю, що у нас є, і тому ми такі відстійні.",0
@user one hope this gets a rt! #recycling #roses #holly #wreath #merrychristmas,@користувач сподіваюся на ретвіт! #переробка #троянди #падуб #вінок #щасливогоріздва,0
this is great...,це просто чудово...,1
looking for quality music check> @user hot record what about,шукаєте якісну музику — зацініть гарячий трек @користувача як щодо,0
"facebook owner, mark zuckerberg, says ""dislike"" to creating a dislike button","власнику facebook марку цукербергу ""не подобається"" створення кнопки ""не подобається""",0
alert the media! some guy on twitter has un-cited proof that evolution is wrong! let's get his nobel prize ready!,"Повідомте ЗМІ! Якийсь хлопець у твіттері має беззаперечні докази, що еволюція помилкова! Готуйте йому Нобелівську премію!",1
hoar frost is challenging for some to spell.,декому важко правильно написати слово іній.,0
wash hands with water? moh is rubbing this on everyone's face?,Мити руки водою? МОЗ тицяє цим усім під ніс? Оце так відкриття.,1
@user we study hard.. #procrastinators,@користувач ми старанно вчимося.. #прокрастинатори,1
