text_en,text_uk,label
seeing ppl walking w/ crutches makes me really excited for the next 3 weeks of my life,"Побачивши людину, яка ходить з милицями, я справді радію наступні 3 тижні свого життя",1
"look for the girl with the broken smile, ask her if she wants to stay while, and she will be loved. 💕🎵","шукайте дівчину з розбитою посмішкою, запитайте її, чи хоче вона залишитися на час, і її любитимуть. 💕🎵",0
now i remember why i buy books online @user #servicewithasmile,"тепер я пам'ятаю, чому я купую книги онлайн @user #servicewithasmile",1
@user @user so is he banded from wearing the clothes? #karma,"@user @user, то він не носить цей одяг? #карма",1
just found out there are etch a sketch apps. #oldschool oldschool,"щойно дізнався, що існують програми для створення ескізів. #oldschool стара школа",1
"hey what do you know, one of the witnesses supporting darren wilson's story lied! and is racist! mind blown!","привіт, що ти знаєш, один зі свідків, який підтвердив історію Даррена Вілсона, збрехав! і є расистом! розум підірваний!",1
@user on stage at #flzjingleball at the @user in #tampa #iheartradio,@user на сцені #flzjingleball у @user на #tampa #iheartradio,0
you know it's going to be a great day when you're garmin resets itself and you spill some cinnamon down yourself #slowclap,"ти знаєш, що це буде чудовий день, коли ти garmin перезавантажиться, а ти сам проллєш трохи кориці #slowclap",1
halfway thorough my workday ... woooo,половина мого робочого дня ... вауууу,1
would like to thank my nephew for giving me his horrible cold & sore throat etc.. much appreciated!,"хотів би подякувати своєму племіннику за те, що він переніс мені свою жахливу застуду та біль у горлі тощо. дуже вдячний!",1
i forked node! get ready for the future. (where's my interviews),я розгалужив вузол! готуйтеся до майбутнього. (де мої інтерв'ю),0
"@user @user @user @user i'm off to visit great-nephew very ill, only 20 fair","@user @user @user @user я їду відвідати внучатого племінника, який дуже хворий, лише 20 років",0
"if his twitter account is any sign, then this book looks to be a must read id rather read twilight","якщо його твіттер-акаунт є ознакою, то цю книгу, схоже, варто прочитати, радше читати в сутінках",1
nicholas sparks has been manipulating women to believe that guys (in reality) are as sensitive as the male characters in his books.,"Ніколас Спаркс маніпулював жінками, щоб вони повірили, що хлопці (насправді) такі ж чутливі, як і чоловічі персонажі в його книгах.",1
